function,description
K00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
K09023,rutD; aminoacrylate hydrolase [EC:3.5.1.-]
K09024,rutF; flavin reductase [EC:1.5.1.-]
K09065,argF; N-acetylornithine carbamoyltransferase [EC:2.1.3.9]
K09116,K09116; uncharacterized protein
K09117,K09117; uncharacterized protein
K09118,K09118; uncharacterized protein
K09119,cgi121; KEOPS complex subunit Cgi121
K09120,K09120; uncharacterized protein
K09121,"larC; pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase [EC:4.99.1.12]"
K09122,K09122; uncharacterized protein
K09123,lhpI; cis-L-3-hydroxyproline dehydratase [EC:4.2.1.171]
K09124,K09124; uncharacterized protein
K09125,K09125; uncharacterized protein
K09126,K09126; uncharacterized protein
K09127,cmr3; CRISPR-associated protein Cmr3
K09128,K09128; uncharacterized protein
K09129,K09129; uncharacterized protein
K09131,K09131; uncharacterized protein
K09132,K09132; uncharacterized protein
K09133,K09133; uncharacterized protein
K09134,flA; adenosyl-fluoride synthase [EC:2.5.1.63]
K09135,K09135; uncharacterized protein
K09136,ycaO; ribosomal protein S12 methylthiotransferase accessory factor
K09137,K09137; uncharacterized protein
K09138,K09138; uncharacterized protein
K09139,K09139; uncharacterized protein
K09140,TSR3; pre-rRNA-processing protein TSR3
K09141,K09141; uncharacterized protein
K09142,K09142; uncharacterized protein
K09143,K09143; uncharacterized protein
K09144,K09144; uncharacterized protein
K09145,K09145; uncharacterized protein
K09146,K09146; uncharacterized protein
K09147,K09147; uncharacterized protein
K09148,K09148; uncharacterized protein
K09149,K09149; uncharacterized protein
K09150,K09150; uncharacterized protein
K09152,K09152; uncharacterized protein
K09153,K09153; uncharacterized protein
K09154,K09154; uncharacterized protein
K09155,K09155; uncharacterized protein
K09156,cheF; taxis protein CheF
K09157,K09157; uncharacterized protein
K09158,K09158; uncharacterized protein
K09159,cptB; antitoxin CptB
K09160,K09160; uncharacterized protein
K09161,K09161; uncharacterized protein
K09162,cld; chlorite dismutase [EC:1.13.11.49]
K09163,K09163; uncharacterized protein
K09164,K09164; uncharacterized protein
K09165,K09165; uncharacterized protein
K09166,K09166; uncharacterized protein
K09167,K09167; uncharacterized protein
K09181,yfiQ; acetyltransferase
K09190,K09190; uncharacterized protein
K09251,patA; putrescine aminotransferase [EC:2.6.1.82]
K09252,FAEB; feruloyl esterase [EC:3.1.1.73]
K09384,K09384; uncharacterized protein
K09386,K09386; uncharacterized protein
K09388,K09388; uncharacterized protein
K09456,aidB; putative acyl-CoA dehydrogenase
K09457,queF; 7-cyano-7-deazaguanine reductase [EC:1.7.1.13]
K09458,fabF; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]
K09459,E4.1.1.82; phosphonopyruvate decarboxylase [EC:4.1.1.82]
K09461,E1.14.13.40; anthraniloyl-CoA monooxygenase [EC:1.14.13.40]
K09469,aepZ; 2-aminoethylphosphonate-pyruvate transaminase
K09470,puuA; gamma-glutamylputrescine synthase [EC:6.3.1.11]
K09471,"puuB, ordL; gamma-glutamylputrescine oxidase [EC:1.4.3.-]"
K09472,"puuC, aldH; 4-(gamma-glutamylamino)butanal dehydrogenase [EC:1.2.1.99]"
K09473,puuD; gamma-glutamyl-gamma-aminobutyrate hydrolase [EC:3.5.1.94]
K09474,phoN; acid phosphatase (class A) [EC:3.1.3.2]
K09475,ompC; outer membrane pore protein C
K09476,ompF; outer membrane pore protein F
K09477,citT; citrate:succinate antiporter
K09478,ACADSB; short/branched chain acyl-CoA dehydrogenase [EC:1.3.99.12]
K09482,gatD; glutamyl-tRNA(Gln) amidotransferase subunit D [EC:6.3.5.7]
K09483,quiC; 3-dehydroshikimate dehydratase [EC:4.2.1.118]
K09488,"TRAP1, HSP75; TNF receptor-associated protein 1"
K09490,"HSPA5, BIP; heat shock 70kDa protein 5"
K09516,"RETSAT; all-trans-retinol 13,14-reductase [EC:1.3.99.23]"
K09529,DNAJC9; DnaJ homolog subfamily C member 9
K09565,PPIF; peptidyl-prolyl isomerase F (cyclophilin D) [EC:5.2.1.8]
K09607,ina; immune inhibitor A [EC:3.4.24.-]
K09611,NPEPL1; probable aminopeptidase NPEPL1 [EC:3.4.11.-]
K09612,iap; alkaline phosphatase isozyme conversion protein [EC:3.4.11.-]
K09650,"PARL, PSARL, PCP1; rhomboid-like protein [EC:3.4.21.105]"
K09680,coaW; type II pantothenate kinase [EC:2.7.1.33]
K09681,"gltC; LysR family transcriptional regulator, transcription activator of glutamate synthase operon"
K09682,"hpr; MarR family transcriptional regulator, protease production regulatory protein HPr"
K09683,hutP; hut operon positive regulatory protein
K09684,pucR; purine catabolism regulatory protein
K09685,purR; purine operon repressor
K09688,ABC-2.CPSE.P; capsular polysaccharide transport system permease protein
K09689,ABC-2.CPSE.A; capsular polysaccharide transport system ATP-binding protein [EC:3.6.3.38]
K09690,ABC-2.LPSE.P; lipopolysaccharide transport system permease protein
K09691,ABC-2.LPSE.A; lipopolysaccharide transport system ATP-binding protein
K09692,tagG; teichoic acid transport system permease protein
K09693,tagH; teichoic acid transport system ATP-binding protein [EC:3.6.3.40]
K09694,nodJ; lipooligosaccharide transport system permease protein
K09695,nodI; lipooligosaccharide transport system ATP-binding protein
K09696,natB; sodium transport system permease protein
K09697,natA; sodium transport system ATP-binding protein [EC:3.6.3.7]
K09698,gltX; nondiscriminating glutamyl-tRNA synthetase [EC:6.1.1.24]
K09699,"DBT, bkdB; 2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [EC:2.3.1.168]"
K09700,K09700; uncharacterized protein
K09701,K09701; uncharacterized protein
K09702,K09702; uncharacterized protein
K09703,K09703; uncharacterized protein
K09704,K09704; uncharacterized protein
K09705,K09705; uncharacterized protein
K09706,K09706; uncharacterized protein
K09707,K09707; uncharacterized protein
K09709,meh; 3-methylfumaryl-CoA hydratase [EC:4.2.1.153]
K09710,ybeB; ribosome-associated protein
K09711,K09711; uncharacterized protein
K09712,K09712; uncharacterized protein
K09713,K09713; uncharacterized protein
K09714,K09714; uncharacterized protein
K09715,K09715; uncharacterized protein
K09716,"dtdA, GEK1; D-aminoacyl-tRNA deacylase [EC:3.1.1.96]"
K09717,K09717; uncharacterized protein
K09720,"nrpRI; HTH-type transcriptional regulator, global nitrogen regulator NrpRI"
K09721,K09721; uncharacterized protein
K09722,"K09722, pps; 4-phosphopantoate---beta-alanine ligase [EC:6.3.2.36]"
K09723,ginS; DNA replication factor GINS
K09724,K09724; uncharacterized protein
K09725,K09725; uncharacterized protein
K09726,K09726; uncharacterized protein
K09727,K09727; uncharacterized protein
K09728,K09728; uncharacterized protein
K09729,K09729; uncharacterized protein
K09730,K09730; uncharacterized protein
K09731,K09731; uncharacterized protein
K09732,K09732; uncharacterized protein
K09733,mfnB; (5-formylfuran-3-yl)methyl phosphate synthase [EC:4.2.3.153]
K09735,K09735; uncharacterized protein
K09736,K09736; uncharacterized protein
K09737,K09737; uncharacterized protein
K09738,K09738; uncharacterized protein
K09739,mptD; dihydroneopterin aldolase [EC:4.1.2.25]
K09740,K09740; uncharacterized protein
K09741,pcc1; KEOPS complex subunit Pcc1
K09743,K09743; uncharacterized protein
K09744,K09744; uncharacterized protein
K09746,K09746; uncharacterized protein
K09747,K09747; uncharacterized protein
K09748,rimP; ribosome maturation factor RimP
K09749,K09749; uncharacterized protein
K09758,asdA; aspartate 4-decarboxylase [EC:4.1.1.12]
K09759,"aspC, aspS; nondiscriminating aspartyl-tRNA synthetase [EC:6.1.1.23]"
K09760,rmuC; DNA recombination protein RmuC
K09761,rsmE; 16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]
K09762,K09762; uncharacterized protein
K09763,K09763; uncharacterized protein
K09764,K09764; uncharacterized protein
K09765,queH; epoxyqueuosine reductase [EC:1.17.99.6]
K09766,K09766; uncharacterized protein
K09767,yajQ; cyclic-di-GMP-binding protein
K09768,K09768; uncharacterized protein
K09769,K09769; uncharacterized protein
K09770,K09770; uncharacterized protein
K09771,TC.SMR3; small multidrug resistance family-3 protein
K09772,sepF; cell division inhibitor SepF
K09773,"ppsR; [pyruvate, water dikinase]-phosphate phosphotransferase / [pyruvate, water dikinase] kinase [EC:2.7.4.28 2.7.11.33]"
K09774,lptA; lipopolysaccharide export system protein LptA
K09775,K09775; uncharacterized protein
K09776,K09776; uncharacterized protein
K09777,K09777; uncharacterized protein
K09778,K09778; uncharacterized protein
K09779,K09779; uncharacterized protein
K09780,K09780; uncharacterized protein
K09781,K09781; uncharacterized protein
K09785,K09785; uncharacterized protein
K09786,K09786; uncharacterized protein
K09787,K09787; uncharacterized protein
K09788,prpF; 2-methylaconitate isomerase [EC:5.3.3.-]
K09789,bioG; pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85]
K09790,K09790; uncharacterized protein
K09791,K09791; uncharacterized protein
K09792,K09792; uncharacterized protein
K09793,K09793; uncharacterized protein
K09794,K09794; uncharacterized protein
K09795,K09795; uncharacterized protein
K09796,pccA; periplasmic copper chaperone A
K09797,K09797; uncharacterized protein
K09798,K09798; uncharacterized protein
K09799,K09799; uncharacterized protein
K09800,tamB; translocation and assembly module TamB
K09801,K09801; uncharacterized protein
K09802,K09802; uncharacterized protein
K09803,K09803; uncharacterized protein
K09804,K09804; uncharacterized protein
K09805,K09805; uncharacterized protein
K09806,K09806; uncharacterized protein
K09807,K09807; uncharacterized protein
K09808,lolC_E; lipoprotein-releasing system permease protein
K09809,tagF; CDP-glycerol glycerophosphotransferase [EC:2.7.8.12]
K09810,lolD; lipoprotein-releasing system ATP-binding protein [EC:3.6.3.-]
K09811,ftsX; cell division transport system permease protein
K09812,ftsE; cell division transport system ATP-binding protein
K09813,hrtB; hemin transport system permease protein
K09814,hrtA; hemin transport system ATP-binding protein [EC:3.6.3.-]
K09815,znuA; zinc transport system substrate-binding protein
K09816,znuB; zinc transport system permease protein
K09817,znuC; zinc transport system ATP-binding protein [EC:3.6.3.-]
K09818,ABC.MN.S; manganese/iron transport system substrate-binding protein
K09819,ABC.MN.P; manganese/iron transport system permease protein
K09820,ABC.MN.A; manganese/iron transport system ATP-binding protein
K09822,K09822; uncharacterized protein
K09823,"zur; Fur family transcriptional regulator, zinc uptake regulator"
K09824,virK; uncharacterized protein
K09825,"perR; Fur family transcriptional regulator, peroxide stress response regulator"
K09826,"irr; Fur family transcriptional regulator, iron response regulator"
K09833,"HPT, HGGT, ubiA; homogentisate phytyltransferase / homogentisate geranylgeranyltransferase [EC:2.5.1.115 2.5.1.116]"
K09834,"VTE1, SXD1; tocopherol cyclase [EC:5.5.1.24]"
K09835,"crtISO, crtH; prolycopene isomerase [EC:5.2.1.13]"
K09836,crtW; beta-carotene ketolase (CrtW type)
K09844,"crtC; carotenoid 1,2-hydratase [EC:4.2.1.131]"
K09845,"crtD; 1-hydroxycarotenoid 3,4-desaturase [EC:1.3.99.27]"
K09846,crtF; demethylspheroidene O-methyltransferase [EC:2.1.1.210]
K09847,crtA; spheroidene monooxygenase [EC:1.14.15.9]
K09857,K09857; uncharacterized protein
K09858,K09858; SEC-C motif domain protein
K09859,K09859; uncharacterized protein
K09860,K09860; uncharacterized protein
K09861,K09861; uncharacterized protein
K09862,K09862; uncharacterized protein
K09874,NIP; aquaporin NIP
K09879,crtU; isorenieratene synthase
K09880,"mtnC, ENOPH1; enolase-phosphatase E1 [EC:3.1.3.77]"
K09882,cobS; cobaltochelatase CobS [EC:6.6.1.2]
K09883,cobT; cobaltochelatase CobT [EC:6.6.1.2]
K09888,zapA; cell division protein ZapA
K09889,yjgA; ribosome-associated protein
K09890,arfA; alternative ribosome-rescue factor
K09891,K09891; uncharacterized protein
K09892,zapB; cell division protein ZapB
K09893,rraB; regulator of ribonuclease activity B
K09894,K09894; uncharacterized protein
K09895,K09895; uncharacterized protein
K09896,K09896; uncharacterized protein
K09897,K09897; uncharacterized protein
K09898,K09898; uncharacterized protein
K09899,K09899; uncharacterized protein
K09900,K09900; uncharacterized protein
K09901,K09901; uncharacterized protein
K09902,K09902; uncharacterized protein
K09903,pyrH; uridylate kinase [EC:2.7.4.22]
K09904,K09904; uncharacterized protein
K09906,epmC; elongation factor P hydroxylase [EC:1.14.-.-]
K09907,K09907; uncharacterized protein
K09908,K09908; uncharacterized protein
K09909,K09909; uncharacterized protein
K09910,K09910; uncharacterized protein
K09911,K09911; uncharacterized protein
K09912,K09912; uncharacterized protein
K09913,ppnP; purine/pyrimidine-nucleoside phosphorylase [EC:2.4.2.1 2.4.2.2]
K09914,K09914; putative lipoprotein
K09915,K09915; uncharacterized protein
K09916,K09916; uncharacterized protein
K09917,K09917; uncharacterized protein
K09918,K09918; uncharacterized protein
K09919,K09919; uncharacterized protein
K09920,K09920; uncharacterized protein
K09921,K09921; uncharacterized protein
K09922,K09922; uncharacterized protein
K09923,K09923; uncharacterized protein
K09924,K09924; uncharacterized protein
K09925,K09925; uncharacterized protein
K09926,K09926; uncharacterized protein
K09927,K09927; uncharacterized protein
K09928,K09928; uncharacterized protein
K09929,K09929; uncharacterized protein
K09930,K09930; uncharacterized protein
K09931,K09931; uncharacterized protein
K09932,K09932; uncharacterized protein
K09933,mtfA; MtfA peptidase
K09934,K09934; uncharacterized protein
K09935,K09935; uncharacterized protein
K09936,TC.BAT2; bacterial/archaeal transporter family-2 protein
K09937,K09937; uncharacterized protein
K09938,K09938; uncharacterized protein
K09939,K09939; uncharacterized protein
K09940,K09940; uncharacterized protein
K09941,K09941; uncharacterized protein
K09942,K09942; uncharacterized protein
K09943,K09943; uncharacterized protein
K09944,K09944; uncharacterized protein
K09945,K09945; uncharacterized protein
K09946,K09946; uncharacterized protein
K09947,K09947; uncharacterized protein
K09948,K09948; uncharacterized protein
K09949,K09949; uncharacterized protein
K09950,K09950; uncharacterized protein
K09951,cas2; CRISPR-associated protein Cas2
K09952,"csn1, cas9; CRISPR-associated endonuclease Csn1 [EC:3.1.-.-]"
K09953,lpxR; lipid A 3-O-deacylase
K09954,K09954; uncharacterized protein
K09955,K09955; uncharacterized protein
K09956,K09956; uncharacterized protein
K09957,K09957; uncharacterized protein
K09958,K09958; uncharacterized protein
K09959,K09959; uncharacterized protein
K09960,K09960; uncharacterized protein
K09961,K09961; uncharacterized protein
K09962,K09962; uncharacterized protein
K09963,K09963; uncharacterized protein
K09964,K09964; uncharacterized protein
K09965,K09965; uncharacterized protein
K09966,K09966; uncharacterized protein
K09967,K09967; uncharacterized protein
K09968,K09968; uncharacterized protein
K09969,"aapJ, bztA; general L-amino acid transport system substrate-binding protein"
K09970,"aapQ, bztB; general L-amino acid transport system permease protein"
K09971,"aapM, bztC; general L-amino acid transport system permease protein"
K09972,"aapP, bztD; general L-amino acid transport system ATP-binding protein [EC:3.6.3.-]"
K09973,K09973; uncharacterized protein
K09974,K09974; uncharacterized protein
K09975,K09975; uncharacterized protein
K09976,K09976; uncharacterized protein
K09977,K09977; uncharacterized protein
K09978,K09978; uncharacterized protein
K09979,K09979; uncharacterized protein
K09980,K09980; uncharacterized protein
K09981,K09981; uncharacterized protein
K09982,K09982; uncharacterized protein
K09983,K09983; uncharacterized protein
K09984,K09984; uncharacterized protein
K09985,K09985; uncharacterized protein
K09986,K09986; uncharacterized protein
K09987,K09987; uncharacterized protein
K09988,lyxA; D-lyxose ketol-isomerase [EC:5.3.1.15]
K09989,K09989; uncharacterized protein
K09990,K09990; uncharacterized protein
K09991,K09991; uncharacterized protein
K09992,K09992; uncharacterized protein
K09994,phnO; aminoalkylphosphonate N-acetyltransferase [EC:2.3.1.-]
K09996,artJ; arginine transport system substrate-binding protein
K09997,artI; arginine transport system substrate-binding protein
K09998,artM; arginine transport system permease protein
K09999,artQ; arginine transport system permease protein
K10000,artP; arginine transport system ATP-binding protein [EC:3.6.3.-]
K10001,"gltI, aatJ; glutamate/aspartate transport system substrate-binding protein"
K10002,"gltK, aatM; glutamate/aspartate transport system permease protein"
K10003,"gltJ, aatQ; glutamate/aspartate transport system permease protein"
K10004,"gltL, aatP; glutamate/aspartate transport system ATP-binding protein [EC:3.6.3.-]"
K10005,gluB; glutamate transport system substrate-binding protein
K10006,gluC; glutamate transport system permease protein
K10007,gluD; glutamate transport system permease protein
K10008,gluA; glutamate transport system ATP-binding protein [EC:3.6.3.-]
K10009,ABC.CYST.P; cystine transport system permease protein
K10010,ABC.CYST.A; cystine transport system ATP-binding protein [EC:3.6.3.-]
K10011,"arnA, pmrI; UDP-4-amino-4-deoxy-L-arabinose formyltransferase / UDP-glucuronic acid dehydrogenase (UDP-4-keto-hexauronic acid decarboxylating) [EC:2.1.2.13 1.1.1.305]"
K10012,"arnC, pmrF; undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase [EC:2.4.2.53]"
K10013,"ABC.ARG.S, argT; lysine/arginine/ornithine transport system substrate-binding protein"
K10014,hisJ; histidine transport system substrate-binding protein
K10015,hisM; histidine transport system permease protein
K10016,hisQ; histidine transport system permease protein
K10017,hisP; histidine transport system ATP-binding protein [EC:3.6.3.21]
K10018,"occT, nocT; octopine/nopaline transport system substrate-binding protein"
K10019,"occM, nocM; octopine/nopaline transport system permease protein"
K10020,"occQ, nocQ; octopine/nopaline transport system permease protein"
K10021,"occP, nocP; octopine/nopaline transport system ATP-binding protein [EC:3.6.3.-]"
K10022,aotJ; arginine/ornithine transport system substrate-binding protein
K10023,aotM; arginine/ornithine transport system permease protein
K10024,aotQ; arginine/ornithine transport system permease protein
K10025,aotP; arginine/ornithine transport system ATP-binding protein [EC:3.6.3.-]
K10026,queE; 7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]
K10027,crtI; phytoene desaturase [EC:1.3.99.26 1.3.99.28 1.3.99.29 1.3.99.31]
K10036,glnH; glutamine transport system substrate-binding protein
K10037,glnP; glutamine transport system permease protein
K10038,glnQ; glutamine transport system ATP-binding protein [EC:3.6.3.-]
K10039,ABC.GLN1.S; putative glutamine transport system substrate-binding protein
K10040,ABC.GLN1.P; putative glutamine transport system permease protein
K10041,ABC.GLN1.A; putative glutamine transport system ATP-binding protein [EC:3.6.3.-]
K10046,"GME; GDP-D-mannose 3', 5'-epimerase [EC:5.1.3.18 5.1.3.-]"
K10094,cbiK; nickel transport protein
K10105,LIPT1; lipoyltransferase 1
K10107,ABC-2.CPSE.P1; capsular polysaccharide transport system permease protein
K10108,malE; maltose/maltodextrin transport system substrate-binding protein
K10109,malF; maltose/maltodextrin transport system permease protein
K10110,malG; maltose/maltodextrin transport system permease protein
K10111,"malK, mtlK, thuK; multiple sugar transport system ATP-binding protein [EC:3.6.3.-]"
K10112,"msmX, msmK, malK, sugC, ggtA, msiK; multiple sugar transport system ATP-binding protein"
K10117,msmE; raffinose/stachyose/melibiose transport system substrate-binding protein
K10118,msmF; raffinose/stachyose/melibiose transport system permease protein
K10119,msmG; raffinose/stachyose/melibiose transport system permease protein
K10120,"K10120, msmE; fructooligosaccharide transport system substrate-binding protein"
K10121,"K10121, msmF; fructooligosaccharide transport system permease protein"
K10122,"K10122, msmG; fructooligosaccharide transport system permease protein"
K10123,feoC; putative ferrous iron transport protein C
K10124,bglH; carbohydrate-specific outer membrane porin
K10125,"dctB; two-component system, NtrC family, C4-dicarboxylate transport sensor histidine kinase DctB [EC:2.7.13.3]"
K10126,"dctD; two-component system, NtrC family, C4-dicarboxylate transport response regulator DctD"
K10156,eizS; epi-isozizaene synthase [EC:4.2.3.37]
K10187,cyc2; germacradienol/geosmin synthase [EC:4.2.3.22 4.2.3.75 4.1.99.16]
K10188,"lacE, araN; lactose/L-arabinose transport system substrate-binding protein"
K10189,"lacF, araP; lactose/L-arabinose transport system permease protein"
K10190,"lacG, araQ; lactose/L-arabinose transport system permease protein"
K10191,lacK; lactose/L-arabinose transport system ATP-binding protein
K10192,togB; oligogalacturonide transport system substrate-binding protein
K10193,togM; oligogalacturonide transport system permease protein
K10194,togN; oligogalacturonide transport system permease protein
K10195,togA; oligogalacturonide transport system ATP-binding protein
K10200,ABC.NGC.S; N-acetylglucosamine transport system substrate-binding protein
K10201,ABC.NGC.P; N-acetylglucosamine transport system permease protein
K10202,ABC.NGC.P1; N-acetylglucosamine transport system permease protein
K10206,E2.6.1.83; LL-diaminopimelate aminotransferase [EC:2.6.1.83]
K10208,"crtM; 4,4'-diapophytoene synthase [EC:2.5.1.96]"
K10209,"crtN; 4,4'-diapophytoene desaturase [EC:1.3.8.2]"
K10210,crtP; diapolycopene oxygenase [EC:1.14.99.44]
K10211,"crtQ; 4,4'-diaponeurosporenoate glycosyltransferase [EC:2.4.1.-]"
K10212,"K10212, crtO; glycosyl-4,4'-diaponeurosporenoate acyltransferase [EC:2.3.1.-]"
K10213,rihB; ribosylpyrimidine nucleosidase [EC:3.2.2.8]
K10215,ethA; monooxygenase [EC:1.14.13.-]
K10216,"dmpD, xylF; 2-hydroxymuconate-semialdehyde hydrolase [EC:3.7.1.9]"
K10217,"dmpC, xylG, praB; aminomuconate-semialdehyde/2-hydroxymuconate-6-semialdehyde dehydrogenase [EC:1.2.1.32 1.2.1.85]"
K10218,"ligK, galC; 4-hydroxy-4-methyl-2-oxoglutarate aldolase [EC:4.1.3.17]"
K10219,ligC; 2-hydroxy-4-carboxymuconate semialdehyde hemiacetal dehydrogenase [EC:1.1.1.312]
K10220,ligJ; 4-oxalmesaconate hydratase [EC:4.2.1.83]
K10221,"ligI; 2-pyrone-4,6-dicarboxylate lactonase [EC:3.1.1.57]"
K10227,"smoE, mtlE; sorbitol/mannitol transport system substrate-binding protein"
K10228,"smoF, mtlF; sorbitol/mannitol transport system permease protein"
K10229,"smoG, mtlG; sorbitol/mannitol transport system permease protein"
K10231,kojP; kojibiose phosphorylase [EC:2.4.1.230]
K10232,"aglE, ggtB; alpha-glucoside transport system substrate-binding protein"
K10233,"aglF, ggtC; alpha-glucoside transport system permease protein"
K10234,"aglG, ggtD; alpha-glucoside transport system permease protein"
K10235,aglK; alpha-glucoside transport system ATP-binding protein
K10236,thuE; trehalose/maltose transport system substrate-binding protein
K10237,"thuF, sugA; trehalose/maltose transport system permease protein"
K10238,"thuG, sugB; trehalose/maltose transport system permease protein"
K10240,cebE; cellobiose transport system substrate-binding protein
K10241,cebF; cellobiose transport system permease protein
K10242,cebG; cellobiose transport system permease protein
K10253,"K10253; DOPA 4,5-dioxygenase [EC:1.14.99.-]"
K10254,"ohyA, sph; oleate hydratase [EC:4.2.1.53]"
K10255,"FAD6, desA; acyl-lipid omega-6 desaturase (Delta-12 desaturase) [EC:1.14.19.23 1.14.19.45]"
K10257,"FAD3, FAD7, FAD8, desB; acyl-lipid omega-3 desaturase [EC:1.14.19.25 1.14.19.35 1.14.19.36]"
K10258,"TER, TSC13, CER10; very-long-chain enoyl-CoA reductase [EC:1.3.1.93]"
K10297,FBXO11; F-box protein 11
K10353,"E2.7.1.76, dak; deoxyadenosine kinase [EC:2.7.1.76]"
K10380,ANK; ankyrin
K10388,PLEC; plectin
K10439,rbsB; ribose transport system substrate-binding protein
K10440,rbsC; ribose transport system permease protein
K10441,rbsA; ribose transport system ATP-binding protein [EC:3.6.3.17]
K10530,lctO; L-lactate oxidase [EC:1.1.3.2]
K10531,"pvdA, SIDA; L-ornithine N5-monooxygenase [EC:1.14.13.195 1.14.13.196]"
K10533,"E3.3.2.8; limonene-1,2-epoxide hydrolase [EC:3.3.2.8]"
K10535,hao; hydroxylamine dehydrogenase [EC:1.7.2.6]
K10536,aguA; agmatine deiminase [EC:3.5.3.12]
K10537,araF; L-arabinose transport system substrate-binding protein
K10538,araH; L-arabinose transport system permease protein
K10539,araG; L-arabinose transport system ATP-binding protein [EC:3.6.3.17]
K10540,mglB; methyl-galactoside transport system substrate-binding protein
K10541,mglC; methyl-galactoside transport system permease protein
K10542,mglA; methyl-galactoside transport system ATP-binding protein [EC:3.6.3.17]
K10543,xylF; D-xylose transport system substrate-binding protein
K10544,xylH; D-xylose transport system permease protein
K10545,xylG; D-xylose transport system ATP-binding protein [EC:3.6.3.17]
K10546,"ABC.GGU.S, chvE; putative multiple sugar transport system substrate-binding protein"
K10547,"ABC.GGU.P, gguB; putative multiple sugar transport system permease protein"
K10548,"ABC.GGU.A, gguA; putative multiple sugar transport system ATP-binding protein [EC:3.6.3.17]"
K10549,alsB; D-allose transport system substrate-binding protein
K10550,alsC; D-allose transport system permease protein
K10551,alsA; D-allose transport system ATP-binding protein [EC:3.6.3.17]
K10552,frcB; fructose transport system substrate-binding protein
K10553,frcC; fructose transport system permease protein
K10554,frcA; fructose transport system ATP-binding protein
K10555,lsrB; AI-2 transport system substrate-binding protein
K10556,lsrC; AI-2 transport system permease protein
K10557,lsrD; AI-2 transport system permease protein
K10558,"lsrA, ego; AI-2 transport system ATP-binding protein"
K10559,rhaS; rhamnose transport system substrate-binding protein
K10560,rhaP; rhamnose transport system permease protein
K10561,rhaQ; rhamnose transport system permease protein
K10562,rhaT; rhamnose transport system ATP-binding protein [EC:3.6.3.17]
K10563,"mutM, fpg; formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]"
K10564,motC; chemotaxis protein MotC
K10565,motD; chemotaxis protein MotD
K10618,cymC; p-cumic aldehyde dehydrogenase
K10621,"cmtC, dhbA; 2,3-dihydroxy-p-cumate/2,3-dihydroxybenzoate 3,4-dioxygenase [EC:1.13.11.- 1.13.11.14]"
K10622,"cmtD, dhbB; HCOMODA/2-hydroxy-3-carboxy-muconic semialdehyde decarboxylase [EC:4.1.1.-]"
K10670,grdA; glycine/sarcosine/betaine reductase complex component A [EC:1.21.4.2 1.21.4.3 1.21.4.4]
K10672,grdB; glycine reductase complex component B subunit gamma [EC:1.21.4.2]
K10673,"strA; streptomycin 3""-kinase [EC:2.7.1.87]"
K10674,ectD; ectoine hydroxylase [EC:1.14.11.55]
K10676,"tfdB; 2,4-dichlorophenol 6-monooxygenase [EC:1.14.13.20]"
K10677,E4.2.2.17; inulin fructotransferase (DFA-I-forming) [EC:4.2.2.17]
K10678,nfsA; nitroreductase [EC:1.-.-.-]
K10679,"nfnB, nfsB; nitroreductase / dihydropteridine reductase [EC:1.-.-.- 1.5.1.34]"
K10680,nemA; N-ethylmaleimide reductase [EC:1.-.-.-]
K10681,"saeS; two-component system, OmpR family, sensor histidine kinase SaeS [EC:2.7.13.3]"
K10682,"saeR; two-component system, OmpR family, response regulator SaeR"
K10697,"rpaA; two-component system, OmpR family, response regulator RpaA"
K10704,UBE2V; ubiquitin-conjugating enzyme E2 variant
K10708,frlB; fructoselysine 6-phosphate deglycase [EC:3.5.-.-]
K10709,frlC; fructoselysine 3-epimerase [EC:5.1.3.41]
K10710,frlD; fructoselysine 6-kinase [EC:2.7.1.218]
K10711,"frlR; GntR family transcriptional regulator, frlABCD operon transcriptional regulator"
K10713,"fae; 5,6,7,8-tetrahydromethanopterin hydro-lyase [EC:4.2.1.147]"
K10714,mtdB; methylene-tetrahydromethanopterin dehydrogenase [EC:1.5.1.-]
K10715,"rpfC; two-component system, sensor histidine kinase RpfC [EC:2.7.13.3]"
K10716,"kch, trkA, mthK, pch; voltage-gated potassium channel"
K10725,cdc6A; archaeal cell division control protein 6
K10726,"mcm, cdc21; replicative DNA helicase Mcm [EC:3.6.4.-]"
K10742,DNA2; DNA replication ATP-dependent helicase Dna2 [EC:3.6.4.12]
K10747,LIG1; DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7]
K10748,"tus, tau; DNA replication terminus site-binding protein"
K10750,CHAF1A; chromatin assembly factor 1 subunit A
K10762,ydaV; putative replication protein
K10763,hda; DnaA-homolog protein
K10764,metZ; O-succinylhomoserine sulfhydrylase [EC:2.5.1.-]
K10771,APEX1; AP endonuclease 1 [EC:4.2.99.18]
K10773,NTH; endonuclease III [EC:4.2.99.18]
